,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
384,,,,AMPL,ZBRA,CIX,,WAB,
385,,,,MOD,WEX,TKO,,LWAY,
386,,,,CHCI,MU,FVRR,,V,
387,,,,FND,LVO,JOE,,CME,
388,,,,ITGR,GRMN,BSY,,EPAC,
389,,,,TENB,SMID,MGNI,,SRAD,
390,,,,BSY,DORM,LLY,,POWL,
391,,,,PKG,STKL,ADTN,,ESS,
392,,,,FOUR,ETSY,PSTG,,AEIS,
393,,,,BOOT,BSX,FDS,,OSW,
394,,,,LITE,PINS,ZBRA,,GNRC,
395,,,,CIX,REX,NDAQ,,WAT,
396,,,,AWI,META,ESS,,KLTR,
397,,,,SHC,NEM,SPOT,,FDS,
398,,,,XYL,IMAX,IR,,SBAC,
399,,,,HUBB,RDWR,UPWK,,SMID,
400,,,,SIMO,HSY,COO,,TH,
401,,,,VMC,COST,NVDA,,CC,
402,,,,FSS,DOCU,DAVA,,RSG,
403,,,,GFL,VLN,BURL,,IDXX,
404,,,,MKSI,NDAQ,APPF,,NDAQ,
405,,,,CHDN,MCD,FN,,WST,
406,,,,QLYS,GNRC,MA,,FICO,
407,,,,WAB,IRMD,MEDP,,CCRD,
408,,,,BAK,ACMR,VITL,,ODFL,
409,,,,SYK,EW,VMC,,MSCI,
410,,,,TEVA,ALSN,BSX,,PSIX,
411,,,,WNS,TGLS,TECH,,LPRO,
412,,,,MTD,PZZA,ICE,,WPM,
413,,,,MA,AMGN,HAE,,CGNX,
414,,,,IT,RMBS,DCBO,,AMPL,
415,,,,SPOT,UIS,GKOS,,FSS,
416,,,,USLM,NBIX,PAYC,,LNW,
417,,,,V,AVNT,AGYS,,HUBB,
418,,,,NICE,CME,GDDY,,MKSI,
419,,,,CECO,MA,FROG,,EFX,
420,,,,CMG,IR,CECO,,HLT,
421,,,,BCPC,MLM,FNV,,OKTA,
422,,,,VRSK,USLM,MPWR,,TCX,
423,,,,BVN,ALRM,UI,,AIV,
424,,,,LIND,IRTC,PODD,,ENPH,
425,,,,RYN,ROL,TRUP,,ONC,
426,,,,IQV,PBI,PEN,,MANH,
427,,,,AMZN,ATEN,WRBY,,PINS,
428,,,,CRON,VVV,TTD,,TYL,
429,,,,YUM,LXP,PCYO,,MELI,
430,,,,DASH,CCI,CRVL,,NBIX,
431,,,,ABBV,SPT,CPRT,,CORT,
432,,,,CDW,SPXC,APPN,,DAY,
433,,,,HALO,COO,PCTY,,CHWY,
434,,,,COO,SYK,RMBS,,IMAX,
435,,,,AGYS,STRL,ADP,,UG,
436,,,,RMBS,SKY,ELMD,,GKOS,
437,,,,ZTS,STE,WDAY,,LLY,
438,,,,GRMN,WDAY,ISRG,,RGLD,
439,,,,VRRM,ESTC,ANET,,KNSA,
440,,,,WAT,MORN,TSLA,,BLKB,
441,,,,WMG,REAX,RGEN,,VRTX,
442,,,,GNRC,FIX,UP,,TT,
443,,,,SPSC,WM,WING,,KRNT,
444,,,,ARLO,RVTY,SHOP,,STX,
445,,,,VAL,EXP,TPL,,PAY,
446,,,,CGNX,IDXX,DAY,,CRM,
447,,,,WRBY,TTEK,,,MOD,
448,,,,LLY,ALLE,,,OR,
449,,,,GEN,RPD,,,ROAD,
450,,,,SHAK,EXAS,,,RCL,
451,,,,SBAC,ESP,,,TPB,
452,,,,BFAM,QLYS,,,GOGO,
453,,,,AMKR,PRTH,,,TGTX,
454,,,,STRL,AORT,,,SPXC,
455,,,,RACE,RYN,,,ALLT,
456,,,,UNP,FWONA,,,MTSI,
457,,,,FIVN,FWONK,,,RSI,
458,,,,AEIS,PAYC,,,CVLT,
459,,,,CRVL,OMCL,,,DASH,
460,,,,AIV,LMB,,,CPRT,
461,,,,SPGI,HUBB,,,CRVL,
462,,,,MSCI,EPAM,,,FOUR,
463,,,,RVTY,PWR,,,CLBT,
464,,,,SPT,ICE,,,CELH,
465,,,,ALRM,DCBO,,,RGEN,
466,,,,TMO,MKSI,,,AMD,
467,,,,DPZ,ICLR,,,STRL,
468,,,,PAYS,TSE,,,PEN,
469,,,,PWR,KEYS,,,FNV,
470,,,,EFX,NICE,,,TTD,
471,,,,POWI,XYL,,,WINA,
472,,,,BLKB,MRVI,,,VRNS,
473,,,,SAIA,ICUI,,,FROG,
474,,,,MPWR,EEX,,,NVMI,
475,,,,AAON,BCPC,,,SNOW,
476,,,,EW,WAT,,,CRWD,
477,,,,RGEN,SHC,,,TSLA,
478,,,,FSLR,MSCI,,,ANET,
479,,,,RPD,PDFS,,,EVLV,
480,,,,ONTO,SPOT,,,PLTR,
481,,,,FROG,RGLD,,,,
482,,,,FN,LUMN,,,,
483,,,,AMD,SPSC,,,,
484,,,,DDOG,SBAC,,,,
485,,,,SCCO,CRVL,,,,
486,,,,VERX,WINA,,,,
487,,,,TYL,AAON,,,,
488,,,,TTD,VECO,,,,
489,,,,TSLA,NOVT,,,,
490,,,,JOE,MTSI,,,,
491,,,,PODD,SGML,,,,
492,,,,PLTR,MPWR,,,,
493,,,,TPL,MAX,,,,
494,,,,MTSI,IT,,,,
495,,,,ANET,NVMI,,,,
496,,,,NVMI,DT,,,,
497,,,,,TMO,,,,
498,,,,,NOW,,,,
499,,,,,APPF,,,,
500,,,,,GDDY,,,,
501,,,,,POWI,,,,
502,,,,,MANH,,,,
503,,,,,CLBT,,,,
504,,,,,SHOP,,,,
505,,,,,DDOG,,,,
