,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
231,,,,SNCR,BNAI,AXR,RMCF,PLX,
232,,,,INFU,LNSR,MAPS,CCRD,VERI,
233,,,,LWAY,EPM,MAYS,RDNW,RPID,
234,,,,ARQ,LPSN,ICCC,CLIR,USIO,
235,,,,NAGE,POCI,ARQ,CRGO,FTLF,
236,,,,KLTR,ELMD,QRHC,MASS,TIVC,
237,,,,FLGC,CCRD,ALLT,MDRR,CXAI,
238,,,,IVF,XFOR,VLN,TOI,IGC,
239,,,,TOMZ,LFVN,CHCI,LEXX,FTEK,
240,,,,IVDA,SRTS,EDAP,MNDO,CSPI,
241,,,,MAPS,BHST,AIRG,NKTR,WRAP,
242,,,,NMTC,ASM,AIRS,LINK,SYTA,
243,,,,GIFI,MXC,PBPB,SKIN,DUOT,
244,,,,LINK,NTIC,GENC,ACNT,OSS,
245,,,,LEE,ORN,NKTR,ESOA,AEYE,
246,,,,UAMY,FTK,SKIN,LIQT,NSPR,
247,,,,OPFI,QRHC,AIRT,IDN,LINK,
248,,,,POAI,SMLR,TOI,ACFN,BDSX,
249,,,,CTSO,MNDO,PSTL,NSPR,BKTI,
250,,,,GP,EPSN,AEYE,ALTG,UG,
251,,,,NXGL,BATL,FKWL,CSPI,ICCC,
252,,,,RGTI,ICCC,TISI,INTZ,SNES,
253,,,,ESOA,OPFI,OPFI,MAYS,UHG,
254,,,,GAME,ELA,STXS,KOPN,ACFN,
255,,,,LCTX,LAKE,SLE,PPSI,MGNX,
256,,,,RMTI,ALLT,KOSS,BWAY,REKR,
257,,,,PXLW,RMCF,IGC,EPM,PSQH,
258,,,,SMID,KRMD,ELMD,BKTI,WFCF,
259,,,,WRAP,FLGC,XGN,EWCZ,BKKT,
260,,,,OPAD,LINK,NSPR,USIO,PESI,
261,,,,CLLS,TISI,APYX,INNPF,TRX,
262,,,,QRHC,INLX,INVZ,FTLF,CHCI,
263,,,,BATL,ELLO,INUV,FLL,XGN,
264,,,,UG,MYO,STIM,CTSO,CSBR,
265,,,,NDLS,BRLT,LPTH,FEMY,CDXS,
266,,,,PLBY,WFCF,LEDS,TRX,IMDX,
267,,,,CHCI,SKIN,LFVN,FEIM,SMID,
268,,,,PPSI,NSPR,CSPI,AEYE,CLIR,
269,,,,FEIM,CELU,BKTI,CSBR,WYY,
270,,,,KLXE,PAYS,ESP,LCTX,FLL,
271,,,,EGAN,ESOA,CERS,FSI,IDR,
272,,,,FORD,FKWL,INTZ,ESP,LEDS,
273,,,,RGCO,LGVN,RMCF,RSSS,MDWD,
274,,,,WYY,CLIR,XFOR,ARAY,ESOA,
275,,,,DSP,SNCR,MDXH,KEQU,NMTC,
276,,,,FLL,TYGO,ARAY,SMID,ZTEK,
277,,,,CSPI,AENT,NTRB,ATOM,IQST,
278,,,,WFCF,PESI,NMTC,WYY,VVOS,
279,,,,ARAY,INNPF,BLZE,MDWD,NTRP,
280,,,,DGLY,FLL,POCI,VERI,BETR,
281,,,,EVGN,NXGL,TELA,BRFH,SHOT,
282,,,,SERA,RVYL,LEXX,IRIX,VOXR,
283,,,,TSSI,PSQH,FLL,PAYS,AIFF,
284,,,,MDWD,FEIM,ACFN,WRAP,VTAK,
285,,,,PSIX,NPCE,BWAY,VTAK,FEMY,
286,,,,DFLI,VIVK,FTK,POCI,,
287,,,,SONM,KLTR,AERT,MDXH,,
288,,,,VTAK,NTRB,CVRX,YHGJ,,
289,,,,BRLS,AIM,FRSX,LEDS,,
290,,,,BDSX,ARAY,SOTK,PESI,,
291,,,,SYTA,CHCI,RGCO,OPTT,,
292,,,,PLX,USIO,RIGL,LPTH,,
293,,,,VOXR,ESP,MYO,ONDS,,
294,,,,IDR,SQNS,TRX,DUOT,,
295,,,,SLSN,BWAY,EWCZ,SCWO,,
296,,,,USIO,WRAP,VRAR,IMDX,,
297,,,,DVLT,PDEX,GP,,,
298,,,,BLRX,SOWG,MAMA,,,
299,,,,VIVK,KLXE,EPM,,,
