,Date,Symbol,Adj Close,Close,Dividends,Result Close,Condition,MMA_10
87,2022-03-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[75.1, 96.88, 117.12, 180.65, 161.16, 129.25, 62.33]","[83.35, 107.47, 132.08, 180.65, 168.27, 134.63, 67.09]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[83.35, 107.47, 132.08, 180.65, 168.27, 134.63, 67.09]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[85.49, 114.32, 144.88, 169.96, 175.66, 137.16, 64.0]"
88,2022-04-29,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[74.73, 92.78, 106.09, 176.91, 140.72, 118.54, 60.82]","[82.9, 102.81, 119.45, 176.91, 146.93, 123.48, 65.35]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[82.9, 102.81, 119.45, 176.91, 146.93, 123.48, 65.35]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[85.16, 113.05, 142.39, 171.09, 173.01, 136.23, 64.44]"
89,2022-05-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[75.17, 93.36, 103.7, 171.14, 139.88, 118.34, 60.5]","[83.35, 103.32, 116.56, 171.14, 146.05, 123.27, 64.89]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[83.35, 103.32, 116.56, 171.14, 146.05, 123.27, 64.89]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[84.87, 111.61, 139.1, 171.22, 170.11, 134.82, 64.62]"
90,2022-06-30,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[74.73, 92.55, 102.37, 168.46, 130.94, 107.63, 57.91]","[82.79, 102.3, 114.87, 168.46, 136.37, 111.73, 62.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[82.79, 102.3, 114.87, 168.46, 136.37, 111.73, 62.0]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[84.52, 110.12, 135.7, 171.1, 165.52, 131.86, 64.41]"
91,2022-07-29,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[75.03, 95.29, 104.86, 164.1, 137.71, 117.55, 60.37]","[83.05, 105.17, 117.43, 164.1, 143.42, 122.02, 64.51]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[83.05, 105.17, 117.43, 164.1, 143.42, 122.02, 64.51]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[84.21, 109.12, 133.01, 171.08, 162.31, 130.89, 64.78]"
92,2022-08-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[74.42, 91.62, 100.09, 159.27, 134.97, 111.51, 59.24]","[82.29, 100.94, 111.88, 159.27, 140.56, 115.75, 63.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[82.29, 100.94, 111.88, 159.27, 140.56, 115.75, 63.2]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[83.86, 107.75, 129.43, 170.35, 157.29, 128.28, 64.74]"
93,2022-09-30,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[73.54, 87.28, 91.85, 154.67, 126.93, 100.63, 54.31]","[81.21, 95.99, 102.45, 154.67, 131.18, 103.94, 57.83]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[81.21, 95.99, 102.45, 154.67, 131.18, 103.94, 57.83]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[83.4, 105.77, 124.52, 169.26, 152.1, 124.57, 64.26]"
94,2022-10-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[73.44, 86.01, 86.37, 151.91, 142.86, 108.97, 58.09]","[81.0, 94.41, 96.11, 151.91, 147.64, 112.56, 61.74]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[81.0, 94.41, 96.11, 151.91, 147.64, 112.56, 61.74]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[82.94, 103.71, 119.31, 167.36, 148.68, 121.27, 63.57]"
95,2022-11-30,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[73.95, 89.12, 92.54, 164.81, 147.81, 117.37, 61.4]","[81.42, 97.61, 102.73, 164.81, 152.76, 121.24, 65.13]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[81.42, 97.61, 102.73, 164.81, 152.76, 121.24, 65.13]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[82.59, 102.21, 115.34, 167.03, 147.41, 119.85, 63.55]"
96,2022-12-30,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[74.04, 87.79, 90.12, 169.64, 142.01, 110.77, 60.35]","[81.17, 95.78, 99.56, 169.64, 145.93, 113.96, 63.9]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[81.17, 95.78, 99.56, 169.64, 145.93, 113.96, 63.9]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[82.25, 100.58, 111.31, 166.16, 145.91, 118.26, 63.56]"
97,2023-01-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[74.62, 90.94, 97.01, 179.41, 141.23, 118.7, 60.39]","[81.8, 99.21, 107.17, 179.41, 145.13, 122.11, 63.82]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[81.8, 99.21, 107.17, 179.41, 145.13, 122.11, 63.82]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[82.1, 99.75, 108.82, 166.03, 143.6, 117.01, 63.24]"
98,2023-02-28,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[74.01, 87.96, 92.3, 169.78, 135.52, 115.43, 58.37]","[80.99, 95.76, 101.71, 169.78, 139.27, 118.75, 61.57]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[80.99, 95.76, 101.71, 169.78, 139.27, 118.75, 61.57]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[81.91, 99.05, 107.05, 165.32, 142.83, 116.53, 62.86]"
99,2023-03-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[75.23, 91.24, 96.77, 183.22, 136.11, 120.97, 59.27]","[82.16, 99.12, 106.37, 183.22, 139.04, 124.07, 62.4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[82.16, 99.12, 106.37, 183.22, 139.04, 124.07, 62.4]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[81.79, 98.63, 106.03, 166.53, 142.13, 116.61, 62.61]"
100,2023-04-28,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[75.42, 91.98, 97.1, 184.8, 139.37, 123.04, 60.85]","[82.18, 99.73, 106.46, 184.8, 142.37, 126.19, 63.94]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[82.18, 99.73, 106.46, 184.8, 142.37, 126.19, 63.94]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[81.73, 98.37, 105.19, 168.16, 142.73, 118.06, 62.8]"
101,2023-05-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[75.13, 90.66, 94.17, 182.32, 132.65, 123.93, 57.67]","[81.68, 98.06, 102.99, 182.32, 135.5, 127.1, 60.48]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[81.68, 98.06, 102.99, 182.32, 135.5, 127.1, 60.48]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[81.59, 97.66, 103.74, 169.98, 141.94, 118.57, 62.4]"
102,2023-06-30,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[74.76, 89.52, 94.37, 178.27, 141.77, 131.89, 60.0]","[81.08, 96.6, 102.94, 178.27, 144.25, 134.87, 62.81]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[81.08, 96.6, 102.94, 178.27, 144.25, 134.87, 62.81]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[81.47, 97.23, 102.85, 171.88, 142.31, 120.48, 62.36]"
103,2023-07-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[74.99, 88.94, 91.97, 182.35, 144.22, 136.88, 60.56]","[81.12, 95.74, 100.05, 182.35, 146.75, 139.97, 63.27]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[81.12, 95.74, 100.05, 182.35, 146.75, 139.97, 63.27]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[81.46, 97.2, 102.61, 174.65, 143.86, 124.08, 62.91]"
104,2023-08-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[75.3, 88.29, 89.08, 180.02, 144.67, 136.28, 58.75]","[81.24, 94.8, 96.64, 180.02, 147.2, 139.36, 61.24]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[81.24, 94.8, 96.64, 180.02, 147.2, 139.36, 61.24]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[81.48, 97.24, 102.66, 177.46, 143.82, 126.76, 62.86]"
