2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
ABL,ABL,WMK,WMK,WMK,WMK,RYN,RYN
ACCS,ACCS,WTS,WTS,WTS,WTS,SABR,SABR
ACNT,ACNT,WU,WU,WU,WU,SAP,SAP
ADNT,ADNT,WY,WY,WY,WY,SATS,SATS
ADP,ADP,XOM,XOM,XOM,XOM,SBH,SBH
AEM,AEM,XPEL,XPEL,XPEL,XPEL,SCHL,SCHL
AKAM,AKAM,YORW,YORW,YORW,YORW,SCL,SCL
ALC,ALC,ZS,ZS,ZS,ZS,SCOR,SCOR
ALGT,ALGT,ACM,ACM,ACM,ACM,SDOT,SDOT
ALKS,ALKS,ACNT,ACNT,ACNT,ACNT,SGA,SGA
AM,AM,ADV,ADV,ADV,ADV,SGHC,SGHC
AMCX,AMCX,AEE,AEE,AEE,AEE,SGI,SGI
ANIK,ANIK,AEIS,AEIS,AEIS,AEIS,SHAK,SHAK
APG,APG,AES,AES,AES,AES,SHC,SHC
APPF,APPF,ALTG,ALTG,ALTG,ALTG,SIRI,SIRI
AQN,AQN,ALTO,ALTO,ALTO,ALTO,SLP,SLP
ARLO,ARLO,AMC,AMC,AMC,AMC,SMG,SMG
ARTW,ARTW,AMPH,AMPH,AMPH,AMPH,SNAP,SNAP
ARW,ARW,AMRX,AMRX,AMRX,AMRX,SNX,SNX
ASTH,ASTH,AMS,AMS,AMS,AMS,SPCB,SPCB
AU,AU,AMTX,AMTX,AMTX,AMTX,SPSC,SPSC
AXSM,AXSM,ANGO,ANGO,ANGO,ANGO,SR,SR
AZO,AZO,AON,AON,AON,AON,SRI,SRI
BBU,BBU,APD,APD,APD,APD,SRPT,SRPT
BCPC,BCPC,APEI,APEI,APEI,APEI,SRTS,SRTS
BDX,BDX,APPN,APPN,APPN,APPN,STR,STR
BEP,BEP,AQN,AQN,AQN,AQN,STX,STX
BGSF,BGSF,AR,AR,AR,AR,SU,SU
BIO,BIO,ARCB,ARCB,ARCB,ARCB,SWX,SWX
BIOX,BIOX,ARTNA,ARTNA,ARTNA,ARTNA,SYY,SYY
BIP,BIP,ARTW,ARTW,ARTW,ARTW,T,T
BKR,BKR,ASC,ASC,ASC,ASC,TDS,TDS
BLIN,BLIN,ASH,ASH,ASH,ASH,TEO,TEO
BLMN,BLMN,ASM,ASM,ASM,ASM,TGLS,TGLS
BMRA,BMRA,ASTH,ASTH,ASTH,ASTH,THC,THC
BNED,BNED,ATKR,ATKR,ATKR,ATKR,THRM,THRM
BNL,BNL,AVB,AVB,AVB,AVB,THRY,THRY
BNTX,BNTX,AVNS,AVNS,AVNS,AVNS,TISI,TISI
BRAG,BRAG,AVTR,AVTR,AVTR,AVTR,TLRY,TLRY
BRBR,BRBR,AWX,AWX,AWX,AWX,TMDX,TMDX
BRO,BRO,AXSM,AXSM,AXSM,AXSM,TNC,TNC
BRT,BRT,BATL,BATL,BATL,BATL,TNDM,TNDM
BSET,BSET,BCC,BCC,BCC,BCC,TNK,TNK
BTG,BTG,BGS,BGS,BGS,BGS,TPR,TPR
CACC,CACC,BGSF,BGSF,BGSF,BGSF,TREE,TREE
CALX,CALX,BILL,BILL,BILL,BILL,TRIP,TRIP
CARR,CARR,BLDR,BLDR,BLDR,BLDR,TROX,TROX
CBRL,CBRL,BLNE,BLNE,BLNE,BLNE,TSQ,TSQ
CCO,CCO,BNTX,BNTX,BNTX,BNTX,TU,TU
CELH,CELH,BOC,BOC,BOC,BOC,TWIN,TWIN
CENT,CENT,BRT,BRT,BRT,BRT,TWLO,TWLO
CENTA,CENTA,BSM,BSM,BSM,BSM,UDR,UDR
CGNX,CGNX,BTI,BTI,BTI,BTI,UGI,UGI
CIGI,CIGI,BUD,BUD,BUD,BUD,UMC,UMC
CL,CL,BV,BV,BV,BV,UPS,UPS
CLAR,CLAR,BZH,BZH,BZH,BZH,USEG,USEG
CLB,CLB,CAMT,CAMT,CAMT,CAMT,VALU,VALU
CLF,CLF,CBRL,CBRL,CBRL,CBRL,VCEL,VCEL
CLMB,CLMB,CCEC,CCEC,CCEC,CCEC,VERB,VERB
CLNE,CLNE,CCK,CCK,CCK,CCK,VHI,VHI
CMC,CMC,CCLD,CCLD,CCLD,CCLD,VICI,VICI
CMPR,CMPR,CCO,CCO,CCO,CCO,VNOM,VNOM
CNC,CNC,CCRD,CCRD,CCRD,CCRD,VPG,VPG
CNDT,CNDT,CDLX,CDLX,CDLX,CDLX,VVV,VVV
CNTY,CNTY,CDP,CDP,CDP,CDP,WDS,WDS
