total,url,exchangeId,instrumentType,symbolTicker,symbolExchangeTicker,normalizedTicker,symbolEsignalTicker,instrumentName,micCode
6703,https://www.nyse.com/quote/XNGS:LITE,564,COMMON_STOCK,LITE,LITE,LITE,LITE,LUMENTUM HLDGS INC,XNGS
6703,https://www.nyse.com/quote/XNCM:LITM,564,COMMON_STOCK,LITM,LITM,LITM,LITM,SNOW LAKE RESOURCES LTD,XNCM
6703,https://www.nyse.com/quote/XNCM:LIVE,564,COMMON_STOCK,LIVE,LIVE,LIVE,LIVE,LIVE VENTURES INCORPORATED,XNCM
6703,https://www.nyse.com/quote/XNGS:LIVN,564,COMMON_STOCK,LIVN,LIVN,LIVN,LIVN,LIVANOVA PLC,XNGS
6703,https://www.nyse.com/quote/XNCM:LIXT,564,COMMON_STOCK,LIXT,LIXT,LIXT,LIXT,LIXTE BIOTECHNOLOGY HOLDINGS  INC,XNCM
6703,https://www.nyse.com/quote/XNGS:LKFN,564,COMMON_STOCK,LKFN,LKFN,LKFN,LKFN,LAKELAND FINANCIAL CORP,XNGS
6703,https://www.nyse.com/quote/XNGS:LKQ,564,COMMON_STOCK,LKQ,LKQ,LKQ,LKQ,LKQ CORPORATION,XNGS
6703,https://www.nyse.com/quote/XNYS:LLY,558,COMMON_STOCK,LLY,LLY,LLY,LLY,ELI LILLY AND COMPANY,XNYS
6703,https://www.nyse.com/quote/XNGS:LLYVA,564,COMMON_STOCK,LLYVA,LLYVA,LLYVA,LLYVA,LIBERTY MEDIA CORPORATION,XNGS
6703,https://www.nyse.com/quote/XNGS:LLYVK,564,COMMON_STOCK,LLYVK,LLYVK,LLYVK,LLYVK,LIBERTY MEDIA CORPORATION,XNGS
6703,https://www.nyse.com/quote/XNMS:LMAT,564,COMMON_STOCK,LMAT,LMAT,LMAT,LMAT,LEMAITRE VASCULAR INC,XNMS
6703,https://www.nyse.com/quote/XNCM:LMB,564,COMMON_STOCK,LMB,LMB,LMB,LMB,LIMBACH HOLDINGS INC,XNCM
6703,https://www.nyse.com/quote/XNCM:LMFA,564,COMMON_STOCK,LMFA,LMFA,LMFA,LMFA,LM FUNDING AMERICA INC,XNCM
6703,https://www.nyse.com/quote/XNYS:LMND,558,COMMON_STOCK,LMND,LMND,LMND,LMND,LEMONADE INC,XNYS
6703,https://www.nyse.com/quote/XNGS:LMNR,564,COMMON_STOCK,LMNR,LMNR,LMNR,LMNR,LIMONEIRA CO,XNGS
6703,https://www.nyse.com/quote/XNYS:LMT,558,COMMON_STOCK,LMT,LMT,LMT,LMT,LOCKHEED MARTIN CORP,XNYS
6703,https://www.nyse.com/quote/XNYS:LNC,558,COMMON_STOCK,LNC,LNC,LNC,LNC,LINCOLN NATIONAL CORP,XNYS
6703,https://www.nyse.com/quote/XNYS:LNCpD,558,PREFERRED_STOCK,LNC-D,LNCpD,LNCpD,LNC/PD,LINCOLN NATIONAL CORP 9.00% DEP 1/1000TH INT NON CUM PREF D,XNYS
6703,https://www.nyse.com/quote/XNYS:LND,558,DEPOSITORY_RECEIPT,LND,LND,LND,LND,BRASILAGRO - CIA BRAS PROP AGRICOLA SPON ADR EACH REPR 1 ORD SHS,XNYS
6703,https://www.nyse.com/quote/XNYS:LNG,558,COMMON_STOCK,LNG,LNG,LNG,LNG,CHENIERE ENERGY INC,XNYS
6703,https://www.nyse.com/quote/XNCM:LNKB,564,COMMON_STOCK,LNKB,LNKB,LNKB,LNKB,LINKBANCORP INC,XNCM
6703,https://www.nyse.com/quote/XNCM:LNKS,564,COMMON_STOCK,LNKS,LNKS,LNKS,LNKS,LINKERS INDUSTRIES LIMITED,XNCM
6703,https://www.nyse.com/quote/XNYS:LNN,558,COMMON_STOCK,LNN,LNN,LNN,LNN,LINDSAY CORPORATION,XNYS
6703,https://www.nyse.com/quote/XNCM:LNSR,564,COMMON_STOCK,LNSR,LNSR,LNSR,LNSR,LENSAR INC,XNCM
6703,https://www.nyse.com/quote/XNGS:LNT,564,COMMON_STOCK,LNT,LNT,LNT,LNT,ALLIANT ENERGY CORP,XNGS
6703,https://www.nyse.com/quote/XNMS:LNTH,564,COMMON_STOCK,LNTH,LNTH,LNTH,LNTH,LANTHEUS HOLDINGS INC,XNMS
6703,https://www.nyse.com/quote/XNGS:LNW,564,COMMON_STOCK,LNW,LNW,LNW,LNW,LIGHT & WONDER INC,XNGS
6703,https://www.nyse.com/quote/XNCM:LNZA,564,COMMON_STOCK,LNZA,LNZA,LNZA,LNZA,LANZATECH GLOBAL INC,XNCM
6703,https://www.nyse.com/quote/XNCM:LOAN,564,REIT,LOAN,LOAN,LOAN,LOAN,MANHATTAN BRIDGE,XNCM
6703,https://www.nyse.com/quote/XNYS:LOAR,558,COMMON_STOCK,LOAR,LOAR,LOAR,LOAR,LOAR HOLDINGS INC,XNYS
6703,https://www.nyse.com/quote/XNYS:LOB,558,COMMON_STOCK,LOB,LOB,LOB,LOB,LIVE OAK BANCSHARES INC,XNYS
6703,https://www.nyse.com/quote/XNCM:LOBO,564,COMMON_STOCK,LOBO,LOBO,LOBO,LOBO,LOBO EV TECHNOLOGIES LTD,XNCM
6703,https://www.nyse.com/quote/XNYS:LOCL,558,COMMON_STOCK,LOCL,LOCL,LOCL,LOCL,LOCAL BOUNTI CORPORATION,XNYS
6703,https://www.nyse.com/quote/XNGS:LOCO,564,COMMON_STOCK,LOCO,LOCO,LOCO,LOCO,EL POLLO LOCO HOLDINGS INC,XNGS
6703,https://www.nyse.com/quote/XASE:LODE,545,COMMON_STOCK,LODE,LODE,LODE,LODE,COMSTOCK INC,XASE
6703,https://www.nyse.com/quote/XNGS:LOGC,564,COMMON_STOCK,LOGC,LOGC,LOGC,LOGC,CONTEXTLOGIC INC,XNGS
6703,https://www.nyse.com/quote/XNGS:LOGI,564,COMMON_STOCK,LOGI,LOGI,LOGI,LOGI,LOGITECH INTERNATIONAL SA,XNGS
6703,https://www.nyse.com/quote/XNMS:LOKV,564,COMMON_STOCK,LOKV,LOKV,LOKV,LOKV,LIVE OAK ACQUISITION CORP V,XNMS
6703,https://www.nyse.com/quote/XNMS:LOKVU,564,UNIT,LOKVU,LOKVU,LOKVU,LOKVU,LIVE OAK ACQUISITION CORP V UNITS 1 CL A & 1/2 RED WT,XNMS
6703,https://www.nyse.com/quote/XNYS:LOMA,558,DEPOSITORY_RECEIPT,LOMA,LOMA,LOMA,LOMA,LOMA NEGRA CIA IND ARGENTINA SA SPON ADS EACH REP 5 ORD SHS,XNYS
6703,https://www.nyse.com/quote/XNMS:LOOP,564,COMMON_STOCK,LOOP,LOOP,LOOP,LOOP,LOOP INDUSTRIES INC,XNMS
