2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
EPM,EPM,EGY,EGY,EGY,EGY,CCO,CCO
ERII,ERII,EIX,EIX,EIX,EIX,CDNA,CDNA
ESEA,ESEA,ELLO,ELLO,ELLO,ELLO,CDP,CDP
ESOA,ESOA,EMR,EMR,EMR,EMR,CDW,CDW
EXLS,EXLS,ENB,ENB,ENB,ENB,CHRW,CHRW
EXTR,EXTR,ENR,ENR,ENR,ENR,CIVI,CIVI
EZPW,EZPW,EPD,EPD,EPD,EPD,CL,CL
FANG,FANG,EVI,EVI,EVI,EVI,CLLS,CLLS
FBIN,FBIN,EXLS,EXLS,EXLS,EXLS,CLMB,CLMB
FC,FC,EXPE,EXPE,EXPE,EXPE,CMCL,CMCL
FCFS,FCFS,F,F,F,F,CME,CME
FLO,FLO,FBIN,FBIN,FBIN,FBIN,CNH,CNH
FLR,FLR,FCFS,FCFS,FCFS,FCFS,CNP,CNP
FMS,FMS,FDP,FDP,FDP,FDP,CNXC,CNXC
FN,FN,FET,FET,FET,FET,COKE,COKE
FOR,FOR,FLS,FLS,FLS,FLS,COR,COR
FORR,FORR,FMX,FMX,FMX,FMX,COTY,COTY
FOUR,FOUR,FROG,FROG,FROG,FROG,CP,CP
FRO,FRO,FSLY,FSLY,FSLY,FSLY,CPRT,CPRT
FRT,FRT,FVRR,FVRR,FVRR,FVRR,CPS,CPS
FSS,FSS,GBX,GBX,GBX,GBX,CRON,CRON
GEL,GEL,GETY,GETY,GETY,GETY,CROX,CROX
GIGM,GIGM,GFF,GFF,GFF,GFF,CTAS,CTAS
GILD,GILD,GILD,GILD,GILD,GILD,CTVA,CTVA
GO,GO,GLDD,GLDD,GLDD,GLDD,CUK,CUK
GOGO,GOGO,GLPI,GLPI,GLPI,GLPI,CVAC,CVAC
GRBK,GRBK,GNTX,GNTX,GNTX,GNTX,CVGW,CVGW
GRNT,GRNT,GOGO,GOGO,GOGO,GOGO,CVLG,CVLG
GSM,GSM,GOLF,GOLF,GOLF,GOLF,CVNA,CVNA
GT,GT,GPC,GPC,GPC,GPC,CWEN,CWEN
GTM,GTM,GRAB,GRAB,GRAB,GRAB,CX,CX
GVA,GVA,GRMN,GRMN,GRMN,GRMN,DAL,DAL
GWW,GWW,GRVY,GRVY,GRVY,GRVY,DCBO,DCBO
HBM,HBM,GTES,GTES,GTES,GTES,DE,DE
HDSN,HDSN,GTM,GTM,GTM,GTM,DFIN,DFIN
HGV,HGV,GWRS,GWRS,GWRS,GWRS,DIT,DIT
HLT,HLT,HALO,HALO,HALO,HALO,DKNG,DKNG
HOG,HOG,HBI,HBI,HBI,HBI,DVA,DVA
HSIC,HSIC,HBIO,HBIO,HBIO,HBIO,EBS,EBS
HST,HST,HLX,HLX,HLX,HLX,EDN,EDN
HSY,HSY,HOG,HOG,HOG,HOG,EEX,EEX
IBEX,IBEX,HP,HP,HP,HP,EGO,EGO
III,III,HPQ,HPQ,HPQ,HPQ,EL,EL
IMKTA,IMKTA,HVT,HVT,HVT,HVT,ELAN,ELAN
IPG,IPG,INOD,INOD,INOD,INOD,ELMD,ELMD
IPI,IPI,IPAR,IPAR,IPAR,IPAR,EMR,EMR
IQV,IQV,JAMF,JAMF,JAMF,JAMF,EPAC,EPAC
IRM,IRM,JAZZ,JAZZ,JAZZ,JAZZ,EPC,EPC
JBI,JBI,JBI,JBI,JBI,JBI,ERIC,ERIC
JKHY,JKHY,JJSF,JJSF,JJSF,JJSF,ET,ET
JOB,JOB,JOYY,JOYY,JOYY,JOYY,ETR,ETR
KAI,KAI,KAI,KAI,KAI,KAI,EVI,EVI
KBH,KBH,KEP,KEP,KEP,KEP,EVRG,EVRG
KHC,KHC,KNTK,KNTK,KNTK,KNTK,EXPE,EXPE
KLIC,KLIC,KOSS,KOSS,KOSS,KOSS,FC,FC
KMB,KMB,LAUR,LAUR,LAUR,LAUR,FCX,FCX
KMI,KMI,LBRT,LBRT,LBRT,LBRT,FE,FE
KNSA,KNSA,LEA,LEA,LEA,LEA,FI,FI
KOF,KOF,LFVN,LFVN,LFVN,LFVN,FLR,FLR
KOS,KOS,LII,LII,LII,LII,FLS,FLS
KRP,KRP,LMAT,LMAT,LMAT,LMAT,FLUT,FLUT
KTB,KTB,LNG,LNG,LNG,LNG,FMS,FMS
