2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
,,,WFCF,SNCR,NTRB,SMID,ZTEK,
,,,CSPI,TYGO,NMTC,ATOM,IQST,
,,,ARAY,AENT,BLZE,WYY,VVOS,
,,,DGLY,PESI,POCI,MDWD,NTRP,
,,,EVGN,INNPF,TELA,VERI,BETR,
,,,SERA,FLL,LEXX,BRFH,SHOT,
,,,TSSI,NXGL,FLL,IRIX,VOXR,
,,,MDWD,PSQH,BWAY,PAYS,AIFF,
,,,PSIX,RVYL,FTK,WRAP,VTAK,
,,,DFLI,NPCE,ACFN,VTAK,FEMY,
,,,SONM,FEIM,AERT,POCI,,
,,,VTAK,VIVK,CVRX,MDXH,,
,,,BRLS,KLTR,SOTK,YHGJ,,
,,,BDSX,NTRB,RGCO,LEDS,,
,,,SYTA,ARAY,RIGL,PESI,,
,,,PLX,AIM,FRSX,OPTT,,
,,,VOXR,CHCI,TRX,LPTH,,
,,,IDR,ESP,MYO,ONDS,,
,,,SLSN,USIO,EWCZ,DUOT,,
,,,USIO,SQNS,VRAR,SCWO,,
,,,DVLT,WRAP,GP,IMDX,,
,,,BLRX,BWAY,MAMA,,,
,,,VIVK,PDEX,EPM,,,
,,,USAS,SOWG,NUWE,,,
,,,YHGJ,KLXE,PDEX,,,
,,,BHST,KOSS,LNSR,,,
,,,MSAI,GP,ELVA,,,
,,,NSPR,SMID,ESOA,,,
,,,ATLN,IMDX,MDWD,,,
,,,IQST,REKR,NYXH,,,
,,,KULR,KULR,EP,,,
,,,EP,RMTI,PAYS,,,
,,,WKSP,SCWO,SLSN,,,
,,,NTRP,CVRX,PSQH,,,
,,,CLIR,ACFN,LFCR,,,
,,,AZ,BKYI,TSSI,,,
,,,LEXX,VOXR,,,,
,,,DARE,MLEC,,,,
,,,,NDLS,,,,
,,,,IGC,,,,
,,,,SLSN,,,,
,,,,CDZI,,,,
,,,,PPSI,,,,
,,,,EP,,,,
,,,,MSAI,,,,
,,,,IQST,,,,
,,,,AIRT,,,,
,,,,MDXH,,,,
,,,,BRLS,,,,
,,,,KOPN,,,,
,,,,UAMY,,,,
,,,,TSSI,,,,
,,,,ATLX,,,,
,,,,AZ,,,,
,,,,DUOT,,,,
,,,,OBIO,,,,
,,,,MDWD,,,,
