2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
,,ITGR,WM,BSX,HAE,DORM,
,,CVCO,ATNI,PODD,OTEX,REYN,
,,EFXT,SPB,BMY,LCII,CNTY,
,,LMB,AM,EPM,SPNS,TT,
,,UGP,PCAR,TUSK,FSLY,NDAQ,
,,IDXX,WSM,CQP,BLD,ESS,
,,AAON,IDCC,NSIT,ATGE,SSRM,
,,NOW,USEG,GPN,PNW,ITRN,
,,ROAD,JCI,DG,PK,SCL,
,,BBU,COR,BLMN,BBSI,CHT,
,,CQP,ICE,VERX,AVTR,HRMY,
,,LBRT,ARCO,BJ,GVA,SRTS,
,,TRUP,HUBB,EMR,UTHR,FVRR,
,,ARCO,FSS,UVV,HRMY,MLI,
,,LCUT,PAA,DORM,EPD,LXP,
,,DXPE,DIN,PEG,COKE,KMI,
,,FOUR,XPEL,JOE,FROG,PANW,
,,BTBD,SABR,LMB,GNRC,TTD,
,,MYRG,BCPC,CHEF,AMS,BMBL,
,,NE,SPNS,WAB,EVTC,COOP,
,,PEG,DAKT,PNW,CCRD,HFFG,
,,CSTE,BBCP,PCTY,TPB,GNRC,
,,BWMX,IRDM,CNH,NGVC,FTI,
,,OPRA,OGN,TS,LYV,PPIH,
,,VITL,WEN,DIN,WKC,TEVA,
,,WAB,ELAN,APTV,IESC,TOL,
,,DORM,ROAD,WEX,KEX,OTTR,
,,JELD,AMPY,AKAM,EW,SWAG,
,,IR,LW,IEP,PBA,NTIC,
,,NICE,WOW,FIX,TUSK,HOLX,
,,APTV,TGLS,OPRX,BMBL,MAMA,
,,WNS,GHC,MITK,NVGS,TM,
,,IQV,CNR,FRD,TPIC,TTI,
,,RPD,LMB,MATV,PHM,SPXC,
,,TPB,CCO,WFRD,ICLR,FLEX,
,,RNGR,MXC,WK,LZ,SLVM,
,,VERX,TS,GDDY,GLDD,MHO,
,,CHEF,UTHR,VITL,EPAM,CSBR,
,,UIS,REVG,ALK,MEC,CLBT,
,,NOV,MYRG,MXC,ULH,LILAK,
,,ALRM,CWCO,CGNT,WBD,CTEV,
,,THC,TEX,OPRA,ICUI,INVX,
,,TSLA,GPN,OPCH,CIVI,FSS,
,,DAC,EFXT,EXP,FVRR,LILA,
,,TYL,OSK,PWR,ESOA,LNW,
,,MATV,AGYS,SLB,CRNT,WMS,
,,JCI,RYN,MODV,FMS,ZBRA,
,,GEN,SONY,MYRG,DDOG,CLH,
,,AORT,WFRD,DY,CLW,HUBB,
